fips	Elevation	Incidence	weight	Cancer	plot_type	alpha	tooltip
04027	 0.06017	 53.7000	400	Lung	bivariate	0.857	<b>Yuma, AZ</b><br><i>pop. 160026</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>education</td><td>13.3</td><td>5.4</td></tr><tr><td>elevation</td><td>0.1</td><td>5.2</td></tr><tr><td>black</td><td>2.6</td><td>-0.1</td></tr><tr><td>no_lung</td><td>282.6</td><td>-5.2</td></tr><tr><td>smoking</td><td>37.9</td><td>-12.5</td></tr></table>
06001	 0.05279	 52.3000	500	Lung	bivariate	1.000	<b>Alameda, CA</b><br><i>pop. 1443741</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>black</td><td>16.2</td><td>9.1</td></tr><tr><td>elevation</td><td>0.1</td><td>5.3</td></tr><tr><td>no_lung</td><td>379.2</td><td>-0.3</td></tr><tr><td>education</td><td>40.3</td><td>-6.4</td></tr><tr><td>smoking</td><td>41.0</td><td>-8.0</td></tr></table>
06005	 0.49985	 61.4000	187	Lung	bivariate	0.473	<b>Amador, CA</b><br><i>pop. 35100</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>smoking</td><td>55.5</td><td>12.9</td></tr><tr><td>education</td><td>19.0</td><td>2.9</td></tr><tr><td>elevation</td><td>0.5</td><td>2.1</td></tr><tr><td>no_lung</td><td>424.0</td><td>2.0</td></tr><tr><td>black</td><td>4.1</td><td>1.0</td></tr></table>
06007	 0.19901	 70.0000	451	Lung	bivariate	0.931	<b>Butte, CA</b><br><i>pop. 203171</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>smoking</td><td>49.9</td><td>4.9</td></tr><tr><td>elevation</td><td>0.2</td><td>4.2</td></tr><tr><td>no_lung</td><td>414.7</td><td>1.5</td></tr><tr><td>education</td><td>24.1</td><td>0.7</td></tr><tr><td>black</td><td>1.9</td><td>-0.5</td></tr></table>
06009	 0.56458	 61.3000	201	Lung	bivariate	0.504	<b>Calaveras, CA</b><br><i>pop. 40554</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>smoking</td><td>57.2</td><td>15.4</td></tr><tr><td>education</td><td>19.6</td><td>2.6</td></tr><tr><td>elevation</td><td>0.6</td><td>1.6</td></tr><tr><td>no_lung</td><td>376.5</td><td>-0.4</td></tr><tr><td>black</td><td>1.0</td><td>-1.1</td></tr></table>
06011	 0.06799	 69.0000	137	Lung	bivariate	0.353	<b>Colusa, CA</b><br><i>pop. 18804</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>education</td><td>11.7</td><td>6.0</td></tr><tr><td>elevation</td><td>0.1</td><td>5.2</td></tr><tr><td>black</td><td>0.7</td><td>-1.3</td></tr><tr><td>no_lung</td><td>304.3</td><td>-4.1</td></tr><tr><td>smoking</td><td>41.6</td><td>-7.1</td></tr></table>
06013	 0.07319	 52.8000	500	Lung	bivariate	1.000	<b>Contra Costa, CA</b><br><i>pop. 948816</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>elevation</td><td>0.1</td><td>5.1</td></tr><tr><td>black</td><td>10.3</td><td>5.1</td></tr><tr><td>no_lung</td><td>406.4</td><td>1.1</td></tr><tr><td>education</td><td>38.2</td><td>-5.4</td></tr><tr><td>smoking</td><td>42.6</td><td>-5.6</td></tr></table>
06015	 0.06860	 82.3000	166	Lung	bivariate	0.424	<b>Del Norte, CA</b><br><i>pop. 27507</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>smoking</td><td>51.7</td><td>7.5</td></tr><tr><td>elevation</td><td>0.1</td><td>5.2</td></tr><tr><td>education</td><td>14.3</td><td>4.9</td></tr><tr><td>black</td><td>4.6</td><td>1.3</td></tr><tr><td>no_lung</td><td>401.0</td><td>0.8</td></tr></table>
06017	 0.85998	 63.6000	398	Lung	bivariate	0.853	<b>El Dorado, CA</b><br><i>pop. 158179</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>smoking</td><td>49.5</td><td>4.3</td></tr><tr><td>no_lung</td><td>449.8</td><td>3.3</td></tr><tr><td>elevation</td><td>0.9</td><td>-0.5</td></tr><tr><td>black</td><td>0.8</td><td>-1.3</td></tr><tr><td>education</td><td>31.1</td><td>-2.4</td></tr></table>
06019	 0.11653	 55.0000	500	Lung	bivariate	1.000	<b>Fresno, CA</b><br><i>pop. 799407</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>elevation</td><td>0.1</td><td>4.8</td></tr><tr><td>education</td><td>19.7</td><td>2.6</td></tr><tr><td>black</td><td>5.9</td><td>2.2</td></tr><tr><td>no_lung</td><td>372.1</td><td>-0.7</td></tr><tr><td>smoking</td><td>37.4</td><td>-13.2</td></tr></table>
06021	 0.07449	 79.2000	163	Lung	bivariate	0.416	<b>Glenn, CA</b><br><i>pop. 26453</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>elevation</td><td>0.1</td><td>5.1</td></tr><tr><td>education</td><td>16.2</td><td>4.1</td></tr><tr><td>no_lung</td><td>394.9</td><td>0.5</td></tr><tr><td>black</td><td>0.8</td><td>-1.3</td></tr><tr><td>smoking</td><td>43.3</td><td>-4.6</td></tr></table>
06023	 0.12935	 63.4000	358	Lung	bivariate	0.790	<b>Humboldt, CA</b><br><i>pop. 127823</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>smoking</td><td>50.4</td><td>5.6</td></tr><tr><td>elevation</td><td>0.1</td><td>4.7</td></tr><tr><td>no_lung</td><td>428.7</td><td>2.2</td></tr><tr><td>education</td><td>26.3</td><td>-0.3</td></tr><tr><td>black</td><td>1.4</td><td>-0.9</td></tr></table>
06025	-0.01103	 48.5000	377	Lung	bivariate	0.822	<b>Imperial, CA</b><br><i>pop. 142361</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>education</td><td>12.2</td><td>5.8</td></tr><tr><td>elevation</td><td>-0.0</td><td>5.8</td></tr><tr><td>black</td><td>4.3</td><td>1.1</td></tr><tr><td>no_lung</td><td>346.2</td><td>-2.0</td></tr><tr><td>smoking</td><td>36.0</td><td>-15.1</td></tr></table>
06027	 1.47880	 78.4000	134	Lung	bivariate	0.345	<b>Inyo, CA</b><br><i>pop. 17945</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>smoking</td><td>52.8</td><td>9.0</td></tr><tr><td>no_lung</td><td>426.3</td><td>2.1</td></tr><tr><td>education</td><td>20.9</td><td>2.1</td></tr><tr><td>black</td><td>0.4</td><td>-1.5</td></tr><tr><td>elevation</td><td>1.5</td><td>-5.0</td></tr></table>
06029	 0.28028	 61.1000	500	Lung	bivariate	1.000	<b>Kern, CA</b><br><i>pop. 661645</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>education</td><td>14.7</td><td>4.7</td></tr><tr><td>elevation</td><td>0.3</td><td>3.7</td></tr><tr><td>black</td><td>6.6</td><td>2.6</td></tr><tr><td>no_lung</td><td>378.7</td><td>-0.3</td></tr><tr><td>smoking</td><td>42.1</td><td>-6.3</td></tr></table>
06031	 0.09173	 57.9000	360	Lung	bivariate	0.794	<b>Kings, CA</b><br><i>pop. 129461</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>education</td><td>11.8</td><td>6.0</td></tr><tr><td>elevation</td><td>0.1</td><td>5.0</td></tr><tr><td>black</td><td>8.9</td><td>4.2</td></tr><tr><td>no_lung</td><td>368.8</td><td>-0.8</td></tr><tr><td>smoking</td><td>42.8</td><td>-5.4</td></tr></table>
06033	 0.50428	 84.2000	241	Lung	bivariate	0.586	<b>Lake, CA</b><br><i>pop. 58309</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>smoking</td><td>54.8</td><td>11.9</td></tr><tr><td>education</td><td>16.4</td><td>4.0</td></tr><tr><td>elevation</td><td>0.5</td><td>2.0</td></tr><tr><td>no_lung</td><td>406.2</td><td>1.1</td></tr><tr><td>black</td><td>2.6</td><td>-0.1</td></tr></table>
06035	 1.46994	 60.4000	184	Lung	bivariate	0.466	<b>Lassen, CA</b><br><i>pop. 33828</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>smoking</td><td>52.4</td><td>8.4</td></tr><tr><td>education</td><td>12.4</td><td>5.7</td></tr><tr><td>black</td><td>9.1</td><td>4.3</td></tr><tr><td>no_lung</td><td>343.3</td><td>-2.1</td></tr><tr><td>elevation</td><td>1.5</td><td>-5.0</td></tr></table>
06037	 0.15581	 45.6000	500	Lung	bivariate	1.000	<b>Los Angeles, CA</b><br><i>pop. 9521418</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>black</td><td>10.5</td><td>5.2</td></tr><tr><td>elevation</td><td>0.2</td><td>4.6</td></tr><tr><td>no_lung</td><td>375.0</td><td>-0.5</td></tr><tr><td>education</td><td>29.0</td><td>-1.5</td></tr><tr><td>smoking</td><td>36.8</td><td>-14.0</td></tr></table>
06039	 0.24307	 59.6000	351	Lung	bivariate	0.780	<b>Madera, CA</b><br><i>pop. 123109</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>education</td><td>13.5</td><td>5.3</td></tr><tr><td>elevation</td><td>0.2</td><td>3.9</td></tr><tr><td>black</td><td>4.7</td><td>1.4</td></tr><tr><td>no_lung</td><td>382.4</td><td>-0.1</td></tr><tr><td>smoking</td><td>43.0</td><td>-5.1</td></tr></table>
06041	 0.05397	 45.3000	498	Lung	bivariate	0.998	<b>Marin, CA</b><br><i>pop. 248240</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>elevation</td><td>0.1</td><td>5.3</td></tr><tr><td>no_lung</td><td>448.4</td><td>3.2</td></tr><tr><td>black</td><td>3.5</td><td>0.6</td></tr><tr><td>smoking</td><td>46.4</td><td>-0.2</td></tr><tr><td>education</td><td>54.1</td><td>-12.3</td></tr></table>
06043	 0.92829	 74.2000	131	Lung	bivariate	0.337	<b>Mariposa, CA</b><br><i>pop. 17130</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>smoking</td><td>56.9</td><td>14.9</td></tr><tr><td>education</td><td>20.4</td><td>2.3</td></tr><tr><td>elevation</td><td>0.9</td><td>-1.0</td></tr><tr><td>no_lung</td><td>363.3</td><td>-1.1</td></tr><tr><td>black</td><td>0.8</td><td>-1.3</td></tr></table>
06045	 0.31059	 61.0000	294	Lung	bivariate	0.683	<b>Mendocino, CA</b><br><i>pop. 86265</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>smoking</td><td>49.8</td><td>4.7</td></tr><tr><td>elevation</td><td>0.3</td><td>3.4</td></tr><tr><td>no_lung</td><td>412.6</td><td>1.4</td></tr><tr><td>education</td><td>22.7</td><td>1.3</td></tr><tr><td>black</td><td>1.0</td><td>-1.1</td></tr></table>
06047	 0.05104	 62.2000	459	Lung	bivariate	0.943	<b>Merced, CA</b><br><i>pop. 210554</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>education</td><td>12.5</td><td>5.7</td></tr><tr><td>elevation</td><td>0.1</td><td>5.3</td></tr><tr><td>black</td><td>4.5</td><td>1.2</td></tr><tr><td>no_lung</td><td>351.8</td><td>-1.7</td></tr><tr><td>smoking</td><td>41.5</td><td>-7.3</td></tr></table>
06053	 0.07103	 48.6000	500	Lung	bivariate	1.000	<b>Monterey, CA</b><br><i>pop. 401762</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>elevation</td><td>0.1</td><td>5.2</td></tr><tr><td>black</td><td>4.5</td><td>1.2</td></tr><tr><td>education</td><td>23.4</td><td>1.0</td></tr><tr><td>no_lung</td><td>377.6</td><td>-0.4</td></tr><tr><td>smoking</td><td>37.1</td><td>-13.5</td></tr></table>
06055	 0.07428	 66.4000	353	Lung	bivariate	0.782	<b>Napa, CA</b><br><i>pop. 124279</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>elevation</td><td>0.1</td><td>5.1</td></tr><tr><td>no_lung</td><td>432.8</td><td>2.4</td></tr><tr><td>smoking</td><td>46.1</td><td>-0.5</td></tr><tr><td>black</td><td>1.6</td><td>-0.7</td></tr><tr><td>education</td><td>30.0</td><td>-1.9</td></tr></table>
06057	 0.88241	 56.0000	303	Lung	bivariate	0.700	<b>Nevada, CA</b><br><i>pop. 92033</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>smoking</td><td>53.1</td><td>9.6</td></tr><tr><td>no_lung</td><td>403.0</td><td>0.9</td></tr><tr><td>elevation</td><td>0.9</td><td>-0.7</td></tr><tr><td>black</td><td>0.5</td><td>-1.5</td></tr><tr><td>education</td><td>31.9</td><td>-2.7</td></tr></table>
06059	 0.06836	 48.7000	500	Lung	bivariate	1.000	<b>Orange, CA</b><br><i>pop. 2846289</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>elevation</td><td>0.1</td><td>5.2</td></tr><tr><td>no_lung</td><td>379.2</td><td>-0.3</td></tr><tr><td>black</td><td>2.1</td><td>-0.4</td></tr><tr><td>education</td><td>36.0</td><td>-4.5</td></tr><tr><td>smoking</td><td>37.5</td><td>-13.0</td></tr></table>
06061	 0.29580	 55.3000	498	Lung	bivariate	0.998	<b>Placer, CA</b><br><i>pop. 248399</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>elevation</td><td>0.3</td><td>3.5</td></tr><tr><td>smoking</td><td>47.4</td><td>1.3</td></tr><tr><td>no_lung</td><td>402.6</td><td>0.9</td></tr><tr><td>black</td><td>1.1</td><td>-1.1</td></tr><tr><td>education</td><td>34.1</td><td>-3.7</td></tr></table>
06063	 1.47778	 62.9000	144	Lung	bivariate	0.372	<b>Plumas, CA</b><br><i>pop. 20824</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>smoking</td><td>56.1</td><td>13.8</td></tr><tr><td>education</td><td>19.8</td><td>2.5</td></tr><tr><td>no_lung</td><td>365.5</td><td>-1.0</td></tr><tr><td>black</td><td>0.8</td><td>-1.3</td></tr><tr><td>elevation</td><td>1.5</td><td>-5.0</td></tr></table>
06065	 0.34742	 55.2000	500	Lung	bivariate	1.000	<b>Riverside, CA</b><br><i>pop. 1613504</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>elevation</td><td>0.3</td><td>3.2</td></tr><tr><td>black</td><td>7.0</td><td>2.9</td></tr><tr><td>education</td><td>20.5</td><td>2.2</td></tr><tr><td>no_lung</td><td>380.7</td><td>-0.2</td></tr><tr><td>smoking</td><td>43.6</td><td>-4.2</td></tr></table>
06067	 0.02610	 63.7000	500	Lung	bivariate	1.000	<b>Sacramento, CA</b><br><i>pop. 1223499</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>black</td><td>11.4</td><td>5.9</td></tr><tr><td>elevation</td><td>0.0</td><td>5.5</td></tr><tr><td>no_lung</td><td>390.0</td><td>0.2</td></tr><tr><td>education</td><td>27.8</td><td>-0.9</td></tr><tr><td>smoking</td><td>45.0</td><td>-2.2</td></tr></table>
06069	 0.12877	 42.9000	231	Lung	bivariate	0.564	<b>San Benito, CA</b><br><i>pop. 53234</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>elevation</td><td>0.1</td><td>4.7</td></tr><tr><td>education</td><td>18.3</td><td>3.2</td></tr><tr><td>no_lung</td><td>399.4</td><td>0.7</td></tr><tr><td>black</td><td>1.5</td><td>-0.8</td></tr><tr><td>smoking</td><td>39.9</td><td>-9.6</td></tr></table>
06071	 0.53363	 57.0000	500	Lung	bivariate	1.000	<b>San Bernardino, CA</b><br><i>pop. 1709434</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>black</td><td>10.0</td><td>4.9</td></tr><tr><td>education</td><td>18.4</td><td>3.1</td></tr><tr><td>elevation</td><td>0.5</td><td>1.8</td></tr><tr><td>no_lung</td><td>379.2</td><td>-0.3</td></tr><tr><td>smoking</td><td>39.5</td><td>-10.1</td></tr></table>
06073	 0.12913	 54.1000	500	Lung	bivariate	1.000	<b>San Diego, CA</b><br><i>pop. 2813833</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>elevation</td><td>0.1</td><td>4.7</td></tr><tr><td>black</td><td>6.6</td><td>2.6</td></tr><tr><td>no_lung</td><td>395.8</td><td>0.5</td></tr><tr><td>education</td><td>34.1</td><td>-3.7</td></tr><tr><td>smoking</td><td>40.7</td><td>-8.4</td></tr></table>
06075	 0.05683	 50.8000	500	Lung	bivariate	1.000	<b>San Francisco, CA</b><br><i>pop. 776733</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>elevation</td><td>0.1</td><td>5.3</td></tr><tr><td>black</td><td>8.6</td><td>4.0</td></tr><tr><td>no_lung</td><td>372.3</td><td>-0.7</td></tr><tr><td>smoking</td><td>43.6</td><td>-4.1</td></tr><tr><td>education</td><td>51.2</td><td>-11.1</td></tr></table>
06077	 0.01064	 62.3000	500	Lung	bivariate	1.000	<b>San Joaquin, CA</b><br><i>pop. 563598</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>elevation</td><td>0.0</td><td>5.6</td></tr><tr><td>education</td><td>17.5</td><td>3.5</td></tr><tr><td>black</td><td>7.5</td><td>3.2</td></tr><tr><td>no_lung</td><td>375.9</td><td>-0.5</td></tr><tr><td>smoking</td><td>41.5</td><td>-7.1</td></tr></table>
06079	 0.16742	 56.2000	498	Lung	bivariate	0.997	<b>San Luis Obispo, CA</b><br><i>pop. 247594</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>elevation</td><td>0.2</td><td>4.5</td></tr><tr><td>smoking</td><td>48.5</td><td>2.9</td></tr><tr><td>no_lung</td><td>410.6</td><td>1.3</td></tr><tr><td>black</td><td>2.4</td><td>-0.2</td></tr><tr><td>education</td><td>30.6</td><td>-2.1</td></tr></table>
06081	 0.05823	 50.2000	500	Lung	bivariate	1.000	<b>San Mateo, CA</b><br><i>pop. 709239</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>elevation</td><td>0.1</td><td>5.3</td></tr><tr><td>no_lung</td><td>404.2</td><td>1.0</td></tr><tr><td>black</td><td>4.1</td><td>1.0</td></tr><tr><td>smoking</td><td>42.4</td><td>-5.9</td></tr><tr><td>education</td><td>44.0</td><td>-8.0</td></tr></table>
06083	 0.08125	 48.4000	500	Lung	bivariate	1.000	<b>Santa Barbara, CA</b><br><i>pop. 399355</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>elevation</td><td>0.1</td><td>5.1</td></tr><tr><td>no_lung</td><td>406.0</td><td>1.1</td></tr><tr><td>black</td><td>2.8</td><td>0.1</td></tr><tr><td>education</td><td>31.0</td><td>-2.3</td></tr><tr><td>smoking</td><td>39.7</td><td>-9.8</td></tr></table>
06085	 0.05731	 44.3000	500	Lung	bivariate	1.000	<b>Santa Clara, CA</b><br><i>pop. 1682585</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>elevation</td><td>0.1</td><td>5.3</td></tr><tr><td>black</td><td>3.4</td><td>0.5</td></tr><tr><td>no_lung</td><td>385.3</td><td>0.0</td></tr><tr><td>education</td><td>45.3</td><td>-8.5</td></tr><tr><td>smoking</td><td>37.5</td><td>-13.0</td></tr></table>
06087	 0.09877	 46.1000	500	Lung	bivariate	1.000	<b>Santa Cruz, CA</b><br><i>pop. 255602</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>elevation</td><td>0.1</td><td>5.0</td></tr><tr><td>no_lung</td><td>413.7</td><td>1.5</td></tr><tr><td>black</td><td>1.5</td><td>-0.8</td></tr><tr><td>smoking</td><td>44.8</td><td>-2.5</td></tr><tr><td>education</td><td>37.3</td><td>-5.0</td></tr></table>
06089	 0.29698	 77.2000	404	Lung	bivariate	0.863	<b>Shasta, CA</b><br><i>pop. 163256</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>smoking</td><td>53.5</td><td>10.1</td></tr><tr><td>elevation</td><td>0.3</td><td>3.5</td></tr><tr><td>education</td><td>20.0</td><td>2.4</td></tr><tr><td>no_lung</td><td>410.2</td><td>1.3</td></tr><tr><td>black</td><td>1.1</td><td>-1.1</td></tr></table>
06093	 1.13598	 77.2000	210	Lung	bivariate	0.523	<b>Siskiyou, CA</b><br><i>pop. 44301</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>smoking</td><td>52.4</td><td>8.4</td></tr><tr><td>education</td><td>22.6</td><td>1.3</td></tr><tr><td>no_lung</td><td>390.2</td><td>0.3</td></tr><tr><td>black</td><td>1.6</td><td>-0.7</td></tr><tr><td>elevation</td><td>1.1</td><td>-2.5</td></tr></table>
06095	 0.03694	 64.5000	500	Lung	bivariate	1.000	<b>Solano, CA</b><br><i>pop. 394542</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>black</td><td>16.6</td><td>9.3</td></tr><tr><td>elevation</td><td>0.0</td><td>5.4</td></tr><tr><td>no_lung</td><td>406.4</td><td>1.1</td></tr><tr><td>education</td><td>24.0</td><td>0.7</td></tr><tr><td>smoking</td><td>42.5</td><td>-5.8</td></tr></table>
06097	 0.06800	 55.9000	500	Lung	bivariate	1.000	<b>Sonoma, CA</b><br><i>pop. 458614</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>elevation</td><td>0.1</td><td>5.2</td></tr><tr><td>no_lung</td><td>421.9</td><td>1.9</td></tr><tr><td>black</td><td>2.0</td><td>-0.5</td></tr><tr><td>smoking</td><td>46.0</td><td>-0.8</td></tr><tr><td>education</td><td>31.5</td><td>-2.5</td></tr></table>
06099	 0.03307	 61.5000	500	Lung	bivariate	1.000	<b>Stanislaus, CA</b><br><i>pop. 446997</i><br><br><table><tr><th>variable</th><th>value</th><th>effect</th></tr><tr><td>elevation</td><td>0.0</td><td>5.4</td></tr><tr><td>education</td><td>16.3</td><td>4.1</td></tr><tr><td>black</td><td>3.2</td><td>0.3</td></tr><tr><td>no_lung</td><td>383.2</td><td>-0.1</td></tr><tr><td>smoking</td><td>42.0</td><td>-6.6</td></tr></table>
