name	state	fips	metro	immigration	native	white	black	male	population	elevation	high_temp	low_temp	diurnal_temp	particulate	precipitation	sunlight	uvb	smoking	smoking_lower	smoking_upper	female_smoking	male_smoking	radon	drinking	meat	diabetes	obesity	education	income	mammogram	all_cancer	all_cancer_male	all_cancer_female	colorectal	colorectal_lower	colorectal_upper	breast	breast_lower	breast_upper	prostate	prostate_lower	prostate_upper	lung	lung_lower	lung_upper	female_lung	male_lung	over_65_lung	under_65_lung
Clarke, AL	AL	01025	0	10.0422628048544	0.5	56.3	43.3	47.2960849750601	27867	0.08181	23.706163	13.056640	10.649523	14.385840	4.087518	17145.827386	1214.121120118	47.05	41.15	52.9	36.9	59.1	0.53	13	69	11.08	31.5	13.5	27.439	63.6	471.5	590.5	379.5	54.6	43.5	67.7	123.1	99.6	150.5	152.6	125	184.6	69.2	56.8	83.7	32.9	114.4	385.3	23.5
Clay, AL	AL	01027	0	14.2089151049055	0.9	83.4	15.8	48.7722744492774	14254	0.31463	20.958091	11.704359	9.253732	15.844447	3.793317	16569.292293	1120.182905448	52.3	46.25	58.4	43.2	62.25	1.26	6	74	9.88	28	9.5	35.595	58.7	477.5	598.2	391.2	44.8	32.1	61.2	145.4	111.6	186.9	118.8	87.6	158.1	94.5	75.7	117.1	59.6	141.9	482.5	38.4
Cleburne, AL	AL	01029	0	15.4819277108434	0.8	95.5	3.8	49.8265241096084	14123	0.32092	20.655403	11.333413	9.32199	15.883680	3.610440	16328.345472	1120.04755533	50.2	43.8	56.55	40.8	59.95	1.47	10	113	9.16	27.4	8.4	36.077	54.8	426.8	488.6	384.7	63	46.8	83.1	91.8	65.6	125.6	100.9	70.9	139.4	66.4	50.5	86.1	53.2	86.9	321.7	29.5
Coffee, AL	AL	01031	0	24.7568069609425	1.7	78.5	18.9	48.8432878596813	43615	0.10157	23.681773	14.129734	9.552039	13.581838	3.849365	17138.964436	1230.036080729	45.8	40.3	51.35	35.7	56.9	0.82	15	69	9.88	30.4	22.1	42.253	69.4	459	572.3	376.5	40	32.6	48.6	113.7	96.4	133.3	181.7	158.2	207.7	77	66.9	88.3	57.9	104.1	422.2	27.1
Colbert, AL	AL	01033	1	14.4257025001452	0.9	82.3	16.9	47.8521024297978	54984	0.16942	20.761719	11.767408	8.994311	15.622301	3.692745	16227.376538	1082.994873163	50.55	45.6	55.45	41	61.35	2.24	9	74	11.02	27.4	16.4	39.61	68.5	410.5	501	350.3	51.6	44.3	59.9	106.6	91.8	123.2	81.9	68.2	97.6	72.1	63.3	81.7	48.2	103.7	358.9	30.6
Conecuh, AL	AL	01035	0	11.5721182860591	0.6	56.0	43.7	47.3206047270921	14089	0.09441	23.545547	13.964498	9.581049	13.858962	4.233536	17092.575670	1222.15176913	51	44.55	57.4	41.75	61.9	0.58	4	69	11.42	32	9.7	26.944	62.5	478.3	589.9	407.7	64.2	48	84.5	145	110.6	187.4	155.3	117.5	202.2	76.9	59.3	98.6	43	126.1	357	36.4
Coosa, AL	AL	01037	0	20.9296241388332	0.8	64.7	34.4	51.0735944927061	13546	0.22626	21.970273	12.666400	9.303873	15.823590	3.658001	16812.337394	1161.779398521	56.1	50.1	62.1	45.75	67	1.14	4	74	11	30.2	10.6	35.56	61.8	473.9	595.1	385.8	57.1	40.6	78.8	105.7	74.4	147.2	154.5	115.1	204.1	87.6	67.2	112.8	43.4	138	453	34.7
Covington, AL	AL	01039	0	13.7311915986788	0.9	86.8	12.5	47.811644654673	37631	0.09119	23.862147	13.918319	9.943828	13.506728	4.094163	17134.094808	1229.108102244	49.25	43.5	55	37.8	62.2	0.68	10	74	10.32	27.1	13.1	33.852	63.3	446.2	563.9	361.4	49.4	41	59.2	88.9	73.5	106.9	157.3	134.9	182.8	76.8	66.1	88.9	63.9	95.7	384.9	32.3
Crenshaw, AL	AL	01041	0	15.2889027140524	0.8	74.4	25.1	47.3033296743505	13665	0.12067	23.179054	13.389704	9.78935	14.160334	3.897162	17132.728606	1226.833695605	45.7	38.9	52.45	33.5	60.15	0.57		74	10.24	29.3	10.1	35.14	61.6	399.1	487.5	337.1	51.6	37.1	70.3	92.3	65.1	127.5	109.5	78.5	149.3	49.2	35.6	66.5	33	67.9	230.5	22.9
Cullman, AL	AL	01043	0	16.1029553529622	1.0	97.8	1.1	49.3192055031426	77483	0.24183	20.876588	11.477840	9.398748	16.014666	3.876505	16213.726116	1082.990799155	50.65	45.3	56	41.65	60.1	1.08	7	74	9.3	25	13.8	38.567	58.1	431.7	507.2	378.4	43.2	37.5	49.6	107.3	94.6	121.3	101.5	88.5	116	79.2	71.5	87.6	54	109.4	397.6	33.2
Dale, AL	AL	01045	0	29.7288950654049	1.5	76.1	21.0	49.5756070752509	49129	0.10062	23.934823	14.349058	9.585765	13.558008	3.638078	17129.556351	1231.405163195	49.95	44.35	55.55	42.7	57.9	0.75	20	69	11.22	28.8	17.5	43.353	67.4	477.6	616.5	375.5	40.9	33.5	49.6	116.2	98.6	136.1	181.8	157.3	209	90.2	78.9	102.7	59.4	134	457.2	37.1
Dallas, AL	AL	01047	0	9.22740287250634	0.3	35.9	63.6	45.4912110428125	46365	0.05234	23.310064	12.904922	10.405142	15.144007	3.686622	17009.397956	1178.107785446	45.15	39.45	50.9	36.6	56.25	0.6	11	74	12.8	35.1	14.3	26.029	68.7	520.3	640.6	436.6	67	56.9	78.4	126.7	108.1	147.7	225.2	196.8	256.5	86.1	74.9	98.6	62.4	120.2	454.3	32.8
De Kalb, AL	AL	01049	0	16.7116082426179	1.9	94.1	1.8	48.8859926767207	64452	0.36757	19.473108	11.095322	8.377786	15.898059	3.853061	16051.543883	1067.711284819	50.75	45.1	56.3	40.85	61.25	1.01	11	74	9.4	25.5	10.9	35.065	55.9	419.3	525.7	344.3	41.5	35.3	48.6	109.8	95.7	125.5	154.5	136	174.8	69.2	61.1	78	49.9	96.4	348.4	28.8
Elmore, AL	AL	01051	1	29.5863455117191	1.0	77.9	21.0	50.6148100919938	65874	0.10349	22.815273	13.077781	9.737492	15.469096	3.614223	16891.160090	1179.760805619	50.5	45.4	55.65	41.95	59.85	0.94	11	74	9.52	27.1	20.2	53.128	65.5	495.8	580.9	435.8	49.7	42.8	57.4	147.2	131.2	164.8	126.9	110.6	145	90.6	81.1	100.8	63.4	124	471.4	35.5
Escambia, AL	AL	01053	0	16.3654507151569	3.7	65.4	31.0	50.6633714880333	38440	0.07121	23.931514	14.245094	9.68642	13.523385	4.374987	17097.290968	1219.960627435	51.35	45.75	57.05	42.5	61.75	0.61	4	69	10.42	30.4	10.9	31.927	61.6	458.1	633.3	336.5	50	41	60.5	98.9	80.9	120	164.6	139.4	193	80.2	68.8	93.2	46.6	125.7	400.1	34
Etowah, AL	AL	01055	1	13.4562326268691	0.8	83.7	14.9	47.8508394629757	103459	0.2013	20.903877	11.604261	9.299616	15.967560	3.667085	16226.811236	1086.391608759	52.4	47.35	57.4	44.65	61.25	0.72	14	74	9.06	28.9	15.8	36.422	68.0	468	590.1	383.9	45.8	40.7	51.5	109.4	98.3	121.4	162.9	148.2	178.8	85.6	78.5	93.1	64.4	114.2	437.2	34.7
Fayette, AL	AL	01057	0	13.4469696969697	0.4	87.4	12.1	48.3103541497702	18495	0.14212	21.762372	12.172676	9.589696	16.004519	3.960502	16545.693621	1126.733821269	52	45.85	58.15	41.9	63.25	0.82	6	74	9.98	29.4	9.5	34.56	62.5	398.9	446.8	366.3	36.4	25.8	50.1	140.5	111.1	175.8	123.8	94.4	159.8	71.9	56.9	89.8	51.1	95.7	285.5	40.9
Franklin, AL	AL	01059	0	15.8681919071197	0.7	90.5	4.4	49.0952182685841	31223	0.23957	20.659527	11.653074	9.006453	15.892991	3.778023	16193.936167	1083.143104416	47.35	41.55	53.25	37.85	57.6	0.83	7	74	9.34	27.9	11.8	33.942	48.8	458.1	526.7	412.7	51.4	41.6	63.1	118.2	97.1	142.7	99.9	79.3	124.3	93.7	80.1	108.9	76.1	117.1	512.6	33
Geneva, AL	AL	01061	1	15.8167461753578	1.2	87.8	10.8	48.629871138022	25764	0.06684	24.354428	14.378273	9.976155	13.151511	3.855214	17222.131087	1232.012001675	51.8	45.95	57.7	43.35	61.15	0.61	8	69	9.7	29.1	8.0	34.14	60.5	487.9	629.6	389.9	41.3	31.9	52.8	119.2	96.9	145.5	194.9	164.4	229.7	90.1	76.2	106	65.4	123.6	428.9	41.1
Greene, AL	AL	01063	1	11.391719054845	0.2	19.2	80.5	46.9320232604772	9974	0.05615	22.939168	12.399768	10.5394	15.810066	3.755537	16942.762517	1168.195462711	42.15	34.5	49.75	34	52.4	0.79		74	13.64	35	9.9	22.222	67.6	463.4	548.2	388.3	68.6	47.9	95.5	129.2	89.4	181.2	233.7	176.9	304.1	55.6	37.5	79.8		77.5		34.7
Hale, AL	AL	01065	1	14.6594868546088	0.4	40.2	59.3	47.1923188827466	17185	0.06583	22.918192	12.543112	10.37508	15.818483	3.833648	16885.016596	1176.621117059	44.1	37.6	50.6	35.25	54.75	0.69	6	74	12.72	34.1	10.0	29.299	61.3	490.1	666.5	357.7	45.3	32.9	61	130.6	99.9	168	250.4	205.1	302.7	66.3	51.1	84.7	38.2	100.4	309.4	31.1
Henry, AL	AL	01067	1	18.4013650085313	0.6	66.3	32.5	47.5413856529736	16310	0.1102	23.858953	14.211461	9.647492	13.636763	3.514435	17129.746281	1231.405163195	46.5	40.5	52.5	36.2	58.4	0.76	1	69	10.66	30.5	15.0	38.379	65.7	540.9	702.9	422.3	51.6	38.7	67.7	152.1	120.1	190.5	243.3	200.8	292.8	74.4	58.9	93.1	44.2	118.9	426.2	23.5
Houston, AL	AL	01069	1	18.0579031245473	0.8	73.8	24.9	47.4956919368827	88787	0.08867	24.501367	14.497392	10.003975	13.106940	3.749763	17256.091309	1231.50049486	48.6	43.4	53.7	40.05	58.4	0.71	12	69	9.8	26.9	19.0	41.022	71.4	460.4	567.4	388.7	47.5	41.9	53.6	112	100.1	125	174.7	158.6	191.9	70.9	64.2	78.2	56.4	91.6	364.9	28.4
Jackson, AL	AL	01071	0	14.8306510679573	3.4	93.8	3.9	48.7353039350221	53926	0.28719	19.711273	10.942433	8.76884	15.608092	3.830363	15947.870121	1070.100168207	54.25	48.7	59.8	45.8	63.4	0.95	6	69	9.46	30.3	12.0	36.312	59.4	480.8	567.4	418.3	55.5	47.6	64.5	130.4	113.5	149.2	122.3	104.6	142.3	85.1	75.4	95.8	55.5	121.3	391.8	40.7
Jefferson, AL	AL	01073	1	13.9067359187069	0.5	58.7	39.7	47.1400066762632	662047	0.20305	21.643668	12.333151	9.310517	15.947473	3.754878	16432.480623	1122.635035547	46.35	42.95	49.75	39.1	54.95	1.12	15	74	10.14	27.7	28.8	45.244	77.5	507.2	632.7	423	52.5	50.2	54.9	136.7	131.6	142.1	197	190	204.3	72.6	69.8	75.4	52.7	101.8	377.5	28.4
Lamar, AL	AL	01075	0	11.7858809412706	0.4	87.3	12.2	48.2897384305835	15904	0.11522	21.974748	11.828715	10.146033	15.842457	3.950024	16526.378638	1126.760433363	53.2	46.95	59.45	44.1	63.15	0.8		69	9.3	26.8	9.2	33.887	57.0	532.1	639.3	461.3	59	44.5	77.1	139.7	107.4	179.3	180.1	142.1	225.9	89.3	71.4	110.8	70.2	117.6	441.7	38.4
Lauderdale, AL	AL	01077	1	15.1754121127951	0.7	89.1	10.1	47.837800968556	87966	0.18897	20.461998	11.500165	8.961833	15.388914	3.729566	16143.027899	1080.598553003	49.75	45.1	54.45	41.7	58.8	1.61	8	74	9.54	28.3	21.5	39.345	67.3	476.1	594.2	394.5	51.7	45.8	58.2	106	94.1	119.1	139.6	125.1	155.3	76.7	69.6	84.3	53.6	109.7	401.4	29.7
Lawrence, AL	AL	01079	1	13.6919540229885	8.2	80.7	13.6	49.0360026434503	34803	0.20705	20.711446	11.562078	9.149368	15.863463	3.854678	16175.797885	1080.445649693	52.85	47	58.8	44.3	62.2	1.44	10	74	10.94	27.6	10.7	40.516	65.5	421.1	538.1	335	49	39.5	60.3	86.5	69.6	106.6	141.7	116.9	170.1	83.8	71.2	98.1	54.9	118.2	472.3	27.6
Lee, AL	AL	01081	1	35.1122554831061	0.6	74.9	22.9	49.2041149688945	115092	0.19607	22.483524	12.963381	9.520143	15.398870	3.578359	16813.526325	1176.648795553	45	39.95	50.1	37.7	52.55	0.79	17	69	9.94	25.9	30.9	40.894	70.1	397.5	463.9	353.8	38.5	33.2	44.3	110.5	98.5	123.6	158.8	141.9	177.1	54.5	48.1	61.5	46.6	65.4	296.9	19.4
Limestone, AL	AL	01083	1	18.4980159702151	0.9	84.6	13.6	50.7552226079542	65676	0.21964	20.472937	11.298227	9.17471	15.551037	3.815355	16039.344218	1076.374796443	46.75	41.4	52.15	40.5	53.45	1.22	8	74	9.02	28.6	20.8	46.682	67.0	458.2	587.1	363.7	42	35.7	49.1	101.4	88.1	116.3	161.8	142.5	183	80.7	71.8	90.3	55	112.7	453.3	26.8
Lowndes, AL	AL	01085	1	12.498997192138	0.3	26.1	73.7	46.7750315445706	13473	0.08354	23.312642	13.227234	10.085408	14.875062	3.722934	17059.468322	1185.037697199	43.9	37.85	50.05	32.8	57.5	0.61	16	74	13.58	34.1	12.7	29.714	62.0	442.6	555.8	350.6	70.3	51.6	93.7	107.6	76.4	147.5	158.5	118.8	208.1	67.5	49.5	90	49.4	91.9	314.4	31.8
Macon, AL	AL	01087	0	20.174660874191	0.5	14.3	85.3	45.9448247251608	24105	0.11596	23.141272	13.260038	9.881234	15.056153	3.599763	16969.193614	1176.668671051	42.8	36.5	49.05	33.6	54.4	0.59	10	74	13.7	37.9	20.9	27.544	69.3	391	468.9	333.7	48.1	36.6	62.3	87.4	65.6	114.4	174.2	141.2	213.2	54.8	42.4	69.8	44	68.7	198.9	33.9
Madison, AL	AL	01089	1	21.3041489658594	1.7	73.6	23.4	48.7961691362486	276700	0.22244	20.240000	11.179390	9.06061	15.602819	3.686983	15929.706765	1073.301440234	44.4	39.8	49.05	37.55	51.95	2.21	11	74	9.94	26.8	37.4	55.851	73.5	448.6	509.4	403.9	45.1	41.9	48.6	127.2	119.8	134.9	138.8	130.4	147.7	66.5	62.6	70.6	53	84.5	354.4	24.9
Marengo, AL	AL	01091	0	12.4529021796156	0.4	47.6	52.0	46.8920537734593	22539	0.05409	23.311111	12.784825	10.526286	15.154861	3.827302	17095.825513	1177.579115359	45.35	39.3	51.4	35.15	57.7	0.75		69	12.1	31.8	17.9	32.94	65.7	413.1	537	318.6	51.6	39.8	66	93.7	71.7	120.6	179.9	146.3	219.3	56.5	44.3	71.2	32.5	86.8	304.1	20.6
Marion, AL	AL	01093	0	15.466621253406	0.7	95.4	3.8	49.5002242583456	31214	0.19576	21.102494	11.825506	9.276988	16.004890	3.975908	16308.737200	1089.767004829	54.95	48.5	61.3	45.35	65.35	0.92	4	74	9.46	27.6	8.8	32.769	58.9	432.7	531.9	366.5	48.2	39	59.2	116.6	95.4	141.3	116.5	94.9	141.9	81.8	69.5	95.8	53	120.2	405.1	35
Marshall, AL	AL	01095	0	18.1693811074919	1.1	94.4	1.7	48.6568325813866	82231	0.2929	20.360570	11.218749	9.141821	15.961301	3.765816	16082.245222	1073.301440234	51.8	46.45	57.1	43.75	60.5	0.83	10	74	9.48	28.3	14.5	37.661	55.9	483	592.8	410.5	47.4	41.5	54	99.3	87.6	112.2	138.3	123	155	91.2	83	100	68.3	124.6	450.2	39.3
Mobile, AL	AL	01097	1	12.0162014987196	1.1	63.9	33.7	47.7797535532697	403227	0.03345	24.260819	15.418591	8.842228	13.343923	4.389733	17471.420085	1259.021553948	47.6	43.65	51.55	40.55	55.7	0.53	14	69	9.94	30	19.8	40.996	69.9	497.7	624.6	405.7	55.1	51.9	58.4	126	119.6	132.7	184.2	175.4	193.3	82.5	78.6	86.5	60.4	113	429.7	32.2
Monroe, AL	AL	01099	0	10.3512589368977	1.4	58.4	40.4	47.5908567669791	24324	0.09978	23.606285	13.331258	10.275027	14.141934	4.030798	17099.540510	1215.741367809	46.5	40.55	52.4	35.5	59.15	0.74	6	69	11.28	30.5	11.2	30.235	64.8	428	547.7	339.8	53.2	41.3	67.6	109.6	86	137.8	128	101.1	160.2	62.1	49.5	77.1	32.7	100.4	334.9	22.7
Montgomery, AL	AL	01101	1	20.0043237010881	0.5	49.5	49.0	47.585790344951	223510	0.07329	23.232499	13.312482	9.920017	14.903462	3.663775	17085.090536	1182.980948932	43.3	38.9	47.6	35.35	52.95	0.75	12	74	11.22	29.2	30.5	43.725	74.0	446.3	534.3	389.1	54.4	50.1	58.9	124.8	116.1	134	149.3	138.2	161	69.2	64.4	74.3	51.1	96.6	374.5	25
Morgan, AL	AL	01103	1	16.6541324385823	1.4	86.2	11.5	49.0266873154217	111064	0.20054	20.745405	11.448899	9.296506	15.928232	3.778534	16124.871662	1075.040259991	49.3	44.2	54.4	42.4	56.75	1.08	9	74	9.44	26.1	19.1	44.349	67.4	508.8	626.5	417.9	49.9	44.5	55.8	122.5	111.1	134.9	192.2	176.6	208.8	81.5	74.7	88.7	61.9	107.8	420.7	32.4
Perry, AL	AL	01105	0	14.3312391878357	0.2	31.1	68.8	45.6116684933817	11861	0.08696	22.878898	12.596095	10.282803	15.642614	3.805500	16880.561128	1177.036292578	38.35	31.1	45.7	29.15	50.05	0.7		74	13.42	35.8	13.3	25.95	64.5	456.4	570.4	370	54.8	37.8	77.2	124.2	88.8	169.5	217.1	164.4	281.8	79.4	58.8	105.1		131.1	460.8	
Pickens, AL	AL	01107	0	11.4235951027099	0.4	56.4	43.3	46.8232373860327	21730	0.08793	22.533461	12.045619	10.487842	15.803599	3.834830	16753.138536	1129.909251048	49.1	42.5	55.6	39.2	60.8	0.53	8	69	11.6	30.8	11.5	28.28	62.4	467.1	612.5	362.6	51.6	39.6	66.4	133.5	105.8	166.6	195	159.7	236.2	72	58.1	88.5	44.3	111.4	382.8	27
Pike, AL	AL	01109	0	18.9511021028629	1.5	61.8	37.1	47.2386421212633	29605	0.13884	23.261434	13.560187	9.701247	14.261009	3.730027	17085.082562	1228.655795471	43.45	37.75	49.05	34.95	53.4	0.77	11	74	11.1	30.3	23.7	29.181	64.6	462.6	596.4	364.5	45.8	35.5	58.2	93.7	73.6	117.8	158.1	129.7	191	73.9	60.9	88.8	47.3	109.3	372.7	30.7
Randolph, AL	AL	01111	0	13.5123512829089	0.5	77.0	22.4	48.3020554066131	22380	0.28152	21.281405	11.874440	9.406965	15.818083	3.602327	16601.553648	1120.04755533	49.65	43.45	55.95	36.95	63.85	1.1	9	113	9.74	29.8	12.2	34.593	58.2	403.6	516.9	318.4	46.4	35.7	59.5	92.2	71.2	117.8	135	108.2	166.9	59.1	47.1	73.4	43.1	79.4	315.3	22
Russell, AL	AL	01113	1	22.0492388974298	0.8	57.5	41.3	47.6404855695795	49756	0.11457	23.315251	13.423072	9.892179	14.847348	3.316799	16997.082384	1177.219536879	46.75	41.2	52.35	37.65	57.45	0.62		69	11.34	32.5	11.9	32.481	65.4	509.3	629	436.6	60.4	51.6	70.4	130.7	112.8	150.7	176.2	152.4	202.6	77.3	67.3	88.4	52	113.6	391.9	31.8
St Clair, AL	AL	01115	1	22.6447181587029	0.9	90.8	8.3	50.4340304593618	64742	0.20457	21.174023	11.812140	9.361883	15.932937	3.716874	16379.320307	1120.786394622	53.2	47.65	58.75	44.85	62.1	1.07	14	74	10.16	27.4	14.5	48.837	67.5	424.5	527.2	345.3	38.5	32.6	45.1	92.6	80.3	106.4	121	105.8	137.8	82.5	73.9	91.8	60.3	112.2	424.5	33
Shelby, AL	AL	01117	1	33.4128049976611	0.6	90.5	7.5	49.030308528679	143293	0.16887	21.781997	12.527561	9.254436	15.897847	3.795719	16557.671421	1120.845513168	44.55	39.45	49.6	39.15	50.3	0.97	11	74	7.66	23.7	39.6	68.38	74.8	404.4	487.2	338.9	36.8	32.5	41.5	103	93.7	113	154	140.7	168.1	68.2	62.2	74.5	54.3	84.6	404.9	19.5
Sumter, AL	AL	01119	0	14.1661816065192	0.3	26.2	73.6	45.9183673469388	14798	0.06093	23.093656	12.502839	10.590817	15.374182	3.836212	17010.476316	1175.985959467	37.7	30.85	44.5	28.85	48.85	0.51		69	13.38	35.2	12.8	25.338	69.1	453	660.3	320.9	48.2	33.9	66.9	86.7	60.8	120.6	219	169.4	278.9	76.2	57.5	99.4		165.3	398.6	29.6
Talladega, AL	AL	01121	0	17.7528627221765	0.5	67.6	31.8	48.9099986304951	80321	0.18204	21.665997	12.178390	9.487607	15.880286	3.647585	16454.935428	1120.677804343	53.4	48.95	57.95	44.15	64.05	1.1	6	74	11.12	30.5	11.9	36.948	61.9	467.7	577.9	393	51.1	44.7	58.2	111.8	98.8	126.1	159.3	141.9	178.2	80.9	72.9	89.6	58.3	110.5	396.9	35.2
Tallapoosa, AL	AL	01123	0	13.6918686855703	0.5	73.9	25.6	47.5081374321881	41475	0.19249	22.124141	12.693680	9.430461	15.714676	3.677264	16807.898232	1163.904587744	48.75	43.15	54.35	39	59.95	0.91	12	74	10.66	26.9	15.7	36.904	68.7	396.7	488.5	335.8	41.6	34.1	50.5	88.4	73.1	106.2	136.1	115.9	158.9	58.7	50	68.6	41.2	84.4	289.4	25.3
Tuscaloosa, AL	AL	01125	1	21.1430050807417	0.6	68.8	29.6	48.1407126611069	164875	0.08856	22.340073	12.346921	9.993152	15.962659	3.815555	16662.039492	1126.733821269	46.95	42.6	51.2	39.75	54.85	0.9	12	74	9.8	28.4	26.2	42.311	74.4	466	561.3	396.8	53.1	48.2	58.4	127.4	117.2	138.4	156.4	143.7	169.8	73.7	67.9	79.8	51.6	102.6	394.4	27.3
Walker, AL	AL	01127	1	11.8112375834063	0.7	93.0	6.3	48.2471398469871	71988	0.14382	21.791805	12.216741	9.575064	15.995385	3.816152	16429.348502	1126.602574362	53.65	48.45	58.9	44.25	64.1	1.1	11	74	10.2	29.2	9.7	37.191	59.9	508	637.5	419.9	50.2	43.7	57.5	120.8	106.5	136.5	134.2	118.2	151.9	96.2	87.3	105.9	69.9	132.8	486	39.8
